"quartier","ignore","mask","directory",,,"gcp_file","numeros","numeros_output","id","source","url","annotation_output","gcp_output"
13,1,13,"13-a finir","FRAN_0265_00023","FRAN_0265_00023_L.png","cadastre_general_paris/13/FRAN_0265_00023_L.png.points","cadastre_general_paris_numeros/13-a finir/NUMEROS_QUARTIER_13_CORRIGES.zip","cadastre_general_paris_resultat/13/NUMEROS_QUARTIER_13_CORRIGES_GEOREF.gpkg","FRAN_0265_00023","FRAN_0265/FRAN_0265_00023_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00023_L.png","output/Atlas_general_de_Paris/FRAN_0265_00023.json",
14,1,14,"14-a finir","FRAN_0265_00024","FRAN_0265_00024_L.png","cadastre_general_paris/14/FRAN_0265_00024_L.png.points","cadastre_general_paris_numeros/14-a finir/NUMEROS_QUARTIER_14_CORRIGES.zip","cadastre_general_paris_resultat/14/NUMEROS_QUARTIER_14_CORRIGES_GEOREF.gpkg","FRAN_0265_00024","FRAN_0265/FRAN_0265_00024_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00024_L.png","output/Atlas_general_de_Paris/FRAN_0265_00024.json",
15,1,15,"15-a finir","FRAN_0265_00025","FRAN_0265_00025_L.png","cadastre_general_paris/15/FRAN_0265_00025_L.png.points","cadastre_general_paris_numeros/15-a finir/NUMEROS_QUARTIER_15_CORRIGES.zip","cadastre_general_paris_resultat/15/NUMEROS_QUARTIER_15_CORRIGES_GEOREF.gpkg","FRAN_0265_00025","FRAN_0265/FRAN_0265_00025_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00025_L.png","output/Atlas_general_de_Paris/FRAN_0265_00025.json",
16,1,16,"16-a finir","FRAN_0265_00026","FRAN_0265_00026_L.png","cadastre_general_paris/16/FRAN_0265_00026_L.png.points","cadastre_general_paris_numeros/16-a finir/NUMEROS_QUARTIER_16_CORRIGES.zip","cadastre_general_paris_resultat/16/NUMEROS_QUARTIER_16_CORRIGES_GEOREF.gpkg","FRAN_0265_00026","FRAN_0265/FRAN_0265_00026_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00026_L.png","output/Atlas_general_de_Paris/FRAN_0265_00026.json",
17,1,17,"17-a finir","FRAN_0265_00028","FRAN_0265_00028_L.png","cadastre_general_paris/17/FRAN_0265_00028_L.png.points","cadastre_general_paris_numeros/17-a finir/NUMEROS_QUARTIER_17_CORRIGES.zip","cadastre_general_paris_resultat/17/NUMEROS_QUARTIER_17_CORRIGES_GEOREF.gpkg","FRAN_0265_00028","FRAN_0265/FRAN_0265_00028_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00028_L.png","output/Atlas_general_de_Paris/FRAN_0265_00028.json",
18,1,18,"18-a finir","FRAN_0265_00029","FRAN_0265_00029_L.png","cadastre_general_paris/18/FRAN_0265_00029_L.png.points","cadastre_general_paris_numeros/18-a finir/NUMEROS_QUARTIER_18_CORRIGES.zip","cadastre_general_paris_resultat/18/NUMEROS_QUARTIER_18_CORRIGES_GEOREF.gpkg","FRAN_0265_00029","FRAN_0265/FRAN_0265_00029_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00029_L.png","output/Atlas_general_de_Paris/FRAN_0265_00029.json",
19,1,19,"19-a finir","FRAN_0265_00030","FRAN_0265_00030_L.png","cadastre_general_paris/19/FRAN_0265_00030_L.png.points","cadastre_general_paris_numeros/19-a finir/NUMEROS_QUARTIER_19_CORRIGES.zip","cadastre_general_paris_resultat/19/NUMEROS_QUARTIER_19_CORRIGES_GEOREF.gpkg","FRAN_0265_00030","FRAN_0265/FRAN_0265_00030_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00030_L.png","output/Atlas_general_de_Paris/FRAN_0265_00030.json",
20,1,20,"20-a finir","FRAN_0265_00031","FRAN_0265_00031_L.png","cadastre_general_paris/20/FRAN_0265_00031_L.png.points","cadastre_general_paris_numeros/20-a finir/NUMEROS_QUARTIER_20_CORRIGES.zip","cadastre_general_paris_resultat/20/NUMEROS_QUARTIER_20_CORRIGES_GEOREF.gpkg","FRAN_0265_00031","FRAN_0265/FRAN_0265_00031_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00031_L.png","output/Atlas_general_de_Paris/FRAN_0265_00031.json",
21,1,21,"21-a finir","FRAN_0265_00033","FRAN_0265_00033_L.png","cadastre_general_paris/21/FRAN_0265_00033_L.png.points","cadastre_general_paris_numeros/21-a finir/NUMEROS_QUARTIER_21_CORRIGES.zip","cadastre_general_paris_resultat/21/NUMEROS_QUARTIER_21_CORRIGES_GEOREF.gpkg","FRAN_0265_00033","FRAN_0265/FRAN_0265_00033_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00033_L.png","output/Atlas_general_de_Paris/FRAN_0265_00033.json",
22,1,22,"22-a finir","FRAN_0265_00034","FRAN_0265_00034_L.png","cadastre_general_paris/22/FRAN_0265_00034_L.png.points","cadastre_general_paris_numeros/22-a finir/NUMEROS_QUARTIER_22_CORRIGES.zip","cadastre_general_paris_resultat/22/NUMEROS_QUARTIER_22_CORRIGES_GEOREF.gpkg","FRAN_0265_00034","FRAN_0265/FRAN_0265_00034_L.png","https://iiif.geohistoricaldata.org/iiif/3/FRAN_0265_00034_L.png","output/Atlas_general_de_Paris/FRAN_0265_00034.json",
